gene_symbol	hgnc_id	entrez_id	count
ACTR3P2	HGNC:38676	Entrez:100129013	0
ACTR3P3	HGNC:38679	Entrez:100128020	0
ACTR5	HGNC:14671	Entrez:79913	27
ACTR6	HGNC:24025	Entrez:64431	0
ACTR6P1	HGNC:44210	Entrez:100421495	0
ACTR8	HGNC:14672	Entrez:93973	48
ACTRT1	HGNC:24027	Entrez:139741	0
ACTRT1P1	HGNC:55127	Entrez:100128268	0
ACTRT2	HGNC:24026	Entrez:140625	0
ACTRT3	HGNC:24022	Entrez:84517	0
ACVR1	HGNC:171	Entrez:90	22
ACVR1B	HGNC:172	Entrez:91	0
ACVR1C	HGNC:18123	Entrez:130399	19
ACVR2A	HGNC:173	Entrez:92	0
ACVR2B	HGNC:174	Entrez:93	0
ACVR2B-AS1	HGNC:44161	Entrez:100128640	0
ACVRL1	HGNC:175	Entrez:94	0
ACY1	HGNC:177	Entrez:95	38
ACY3	HGNC:24104	Entrez:91703	84
ACYP1	HGNC:179	Entrez:97	0
ACYP2	HGNC:180	Entrez:98	25
ADA	HGNC:186	Entrez:100	18
ADA2	HGNC:1839	Entrez:51816	0
ADAD1	HGNC:30713	Entrez:132612	41
ADAD1P1	HGNC:44550	Entrez:100422386	0
ADAD1P2	HGNC:44552	Entrez:100422407	0
ADAD2	HGNC:30714	Entrez:161931	97
ADAL	HGNC:31853	Entrez:161823	16
ADAM10	HGNC:188	Entrez:102	0
ADAM11	HGNC:189	Entrez:4185	18
ADAM12	HGNC:190	Entrez:8038	56
ADAM15	HGNC:193	Entrez:8751	90
ADAM17	HGNC:195	Entrez:6868	45
ADAM18	HGNC:196	Entrez:8749	91
ADAM19	HGNC:197	Entrez:8728	88
ADAM1A	HGNC:187	Entrez:8759	0
ADAM1B	HGNC:44366	Entrez:100420505	0
ADAM2	HGNC:198	Entrez:2515	77
ADAM20	HGNC:199	Entrez:8748	55
ADAM20P1	HGNC:20102	Entrez:317760	0
ADAM20P2	HGNC:43901	Entrez:100533671	0
ADAM20P3	HGNC:43902	Entrez:644325	0
ADAM21	HGNC:200	Entrez:8747	58
ADAM21P1	HGNC:19822	Entrez:145241	0
ADAM22	HGNC:201	Entrez:53616	76
ADAM23	HGNC:202	Entrez:8745	56
ADAM24P	HGNC:203	Entrez:646479	0
ADAM28	HGNC:206	Entrez:10863	90
ADAM29	HGNC:207	Entrez:11086	76
ADAM30	HGNC:208	Entrez:11085	123
ADAM32	HGNC:15479	Entrez:203102	64
ADAM33	HGNC:15478	Entrez:80332	48
ADAM3A	HGNC:209	Entrez:1587	0
ADAM3B	HGNC:210	Entrez:1596	0
ADAM5	HGNC:212	Entrez:255926	0
ADAM6	HGNC:213	Entrez:8755	0
ADAM7	HGNC:214	Entrez:8756	82
ADAM7-AS1	HGNC:56152	Entrez:101929294	0
ADAM7-AS2	HGNC:56153	Entrez:101929315	0
ADAM8	HGNC:215	Entrez:101	128
ADAM9	HGNC:216	Entrez:8754	0
ADAMDEC1	HGNC:16299	Entrez:27299	36
ADAMTS1	HGNC:217	Entrez:9510	67
ADAMTS10	HGNC:13201	Entrez:81794	86
ADAMTS12	HGNC:14605	Entrez:81792	103
ADAMTS13	HGNC:1366	Entrez:11093	118
ADAMTS14	HGNC:14899	Entrez:140766	142
ADAMTS15	HGNC:16305	Entrez:170689	64
ADAMTS16	HGNC:17108	Entrez:170690	93
ADAMTS16-DT	HGNC:55548	Entrez:101929176	0
ADAMTS17	HGNC:17109	Entrez:170691	134
ADAMTS18	HGNC:17110	Entrez:170692	163
ADAMTS19	HGNC:17111	Entrez:171019	71
ADAMTS19-AS1	HGNC:40797	Entrez:103689846	0
ADAMTS2	HGNC:218	Entrez:9509	101
ADAMTS20	HGNC:17178	Entrez:80070	120
ADAMTS3	HGNC:219	Entrez:9508	88
ADAMTS4	HGNC:220	Entrez:9507	91
ADAMTS5	HGNC:221	Entrez:11096	57
ADAMTS6	HGNC:222	Entrez:11174	23
ADAMTS7	HGNC:223	Entrez:11173	248
ADAMTS7P1	HGNC:49407	Entrez:390660	0
ADAMTS7P3	HGNC:49409	Entrez:400406	0
ADAMTS7P4	HGNC:49410	Entrez:642935	0
ADAMTS8	HGNC:224	Entrez:11095	66
ADAMTS9	HGNC:13202	Entrez:56999	200
ADAMTS9-AS1	HGNC:40625	Entrez:101929335	0
ADAMTS9-AS2	HGNC:42435	Entrez:100507098	0
ADAMTSL1	HGNC:14632	Entrez:92949	209
ADAMTSL2	HGNC:14631	Entrez:9719	16
ADAMTSL3	HGNC:14633	Entrez:57188	139
ADAMTSL4	HGNC:19706	Entrez:54507	163
ADAMTSL4-AS1	HGNC:32041	Entrez:574406	0
ADAMTSL4-AS2	HGNC:40895	Entrez:100289061	0
ADAMTSL5	HGNC:27912	Entrez:339366	36
ADAP1	HGNC:16486	Entrez:11033	33
ADAP2	HGNC:16487	Entrez:55803	34
ADAR	HGNC:225	Entrez:103	59
ADARB1	HGNC:226	Entrez:104	0
ADARB2	HGNC:227	Entrez:105	0
ADARB2-AS1	HGNC:23299	Entrez:642394	0
ADAT1	HGNC:228	Entrez:23536	58
ADAT2	HGNC:21172	Entrez:134637	18
ADAT3	HGNC:25151	Entrez:113179	0
ADCK1	HGNC:19038	Entrez:57143	101
ADCK2	HGNC:19039	Entrez:90956	71
ADCK5	HGNC:21738	Entrez:203054	18
ADCP1	HGNC:229	Entrez:106	0
ADCY1	HGNC:232	Entrez:107	0
ADCY10	HGNC:21285	Entrez:55811	219
ADCY10P1	HGNC:44143	Entrez:221442	0
ADCY2	HGNC:233	Entrez:108	38
ADCY3	HGNC:234	Entrez:109	125
ADCY4	HGNC:235	Entrez:196883	107
ADCY5	HGNC:236	Entrez:111	74
ADCY6	HGNC:237	Entrez:112	79
ADCY6-DT	HGNC:53332	Entrez:100506125	0
ADCY7	HGNC:238	Entrez:113	113
ADCY8	HGNC:239	Entrez:114	61
ADCY9	HGNC:240	Entrez:115	80
ADCYAP1	HGNC:241	Entrez:116	0
ADCYAP1R1	HGNC:242	Entrez:117	0
ADD1	HGNC:243	Entrez:118	75
